date,killed,city,state,lat,lon
2016-03-21T00:00:00.000Z,4,Sherman,TX,36.2452294,-101.8858689
2016-04-01T00:00:00.000Z,3,Albuquerque,NM,35.0841034,-106.650985
2016-04-11T00:00:00.000Z,4,Orange Co.,NY,33.7500378,-117.8704931
2016-04-17T00:00:00.000Z,3,Philadelphia,PA,39.9527237,-75.1635262
2016-04-19T00:00:00.000Z,4,Katy,TX,29.7857853,-95.8243956
2016-04-22T00:00:00.000Z,8,Piketon,OH,39.0681252,-83.0143443
2016-04-22T00:00:00.000Z,6,Appling,GA,31.7771435,-82.2996274
2016-04-23T00:00:00.000Z,3,Auburn,AL,32.6098566,-85.4807825
2016-04-27T00:00:00.000Z,3,Kilmichael,MS,33.439840000000004,-89.5670684113814
2016-05-03T00:00:00.000Z,4,Green Cove Springs,FL,29.9919779,-81.6781097
2016-05-06T00:00:00.000Z,3,Bethesda,MD,38.98127255,-77.12335871396549
2016-05-12T00:00:00.000Z,4,Chicago (Roseland),IL,41.7019787,-87.625881
2016-05-15T00:00:00.000Z,5,Moultrie,GA,39.6391442,-88.6087498
2016-05-17T00:00:00.000Z,3,Ravenel,SC,32.7632321,-80.2500986
2016-06-04T00:00:00.000Z,3,Denver,CO,39.7392364,-104.984862
2016-06-05T00:00:00.000Z,3,Phoenix,AZ,33.4484367,-112.074141
2016-06-05T00:00:00.000Z,3,Cape Coral,FL,26.6059432,-81.9806771
2016-06-11T00:00:00.000Z,3,Los Angeles (Panorama City),CA,34.2242902,-118.4453745
2016-06-11T00:00:00.000Z,5,Roswell,NM,34.02332,-84.360022
2016-06-12T00:00:00.000Z,50,Orlando,FL,28.5421109,-81.3790304
2016-06-13T00:00:00.000Z,3,College Park,GA,38.980666,-76.9369189
2016-06-22T00:00:00.000Z,3,Lacey,WA,47.0263876,-122.8072257
2016-06-24T00:00:00.000Z,3,District Heights,MD,38.8622077,-76.8815207
2016-06-27T00:00:00.000Z,3,Woodburn,OR,45.143731,-122.8553725
2016-06-29T00:00:00.000Z,5,Las Vegas,NV,36.1672559,-115.148516
2016-07-04T00:00:00.000Z,3,Houston,TX,29.7589382,-95.3676974
2016-07-07T00:00:00.000Z,5,Dallas,TX,32.7762719,-96.7968559
2016-07-11T00:00:00.000Z,3,St. Joseph (Berrien Co.),MI,42.1095808,-86.4799538
2016-07-14T00:00:00.000Z,3,Crosby,TX,33.5778818,-101.2855737
2016-07-15T00:00:00.000Z,3,Woodland,WA,38.6786109,-121.7733285
2016-07-17T00:00:00.000Z,4,Baton Rouge,LA,30.4507936,-91.1391153
2016-07-23T00:00:00.000Z,4,Bastrop,TX,30.0541116,-97.3887764
2016-07-30T00:00:00.000Z,3,Mukilteo,WA,47.9474034,-122.3036992
2016-07-30T00:00:00.000Z,4,Bridgeton,MO,38.7566055,-90.42352
2016-07-31T00:00:00.000Z,3,Miami-Dade Co,FL,25.6364246,-80.4989467
2016-08-18T00:00:00.000Z,3,Hermiston,OR,45.8404101,-119.28946
2016-08-20T00:00:00.000Z,6,Citronelle,AL,31.0937841,-88.234284
2016-08-29T00:00:00.000Z,4,Temecula,CA,33.4946353,-117.1473661
2016-09-09T00:00:00.000Z,4,Austin (Del Valle),TX,30.1776045,-97.61063121655137
2016-09-11T00:00:00.000Z,4,Fort Wayne,IN,41.0799898,-85.1386015
2016-09-12T00:00:00.000Z,3,Fort Wayne,IN,41.0799898,-85.1386015
2016-09-23T00:00:00.000Z,5,Burlington,WA,44.4761601,-73.212906
2016-09-30T00:00:00.000Z,3,Minneapolis,MN,44.9772995,-93.2654692
2016-10-01T00:00:00.000Z,4,Pembroke Twp.,IL,44.9177139,-67.8147412
2016-10-01T00:00:00.000Z,4,Bucksport,SC,44.60177,-68.79569136571041
2016-10-04T00:00:00.000Z,3,New Orleans,LA,29.9759983,-90.0782127
2016-10-15T00:00:00.000Z,4,Los Angeles,CA,34.0536909,-118.242766
2016-10-27T00:00:00.000Z,4,Henry Co.,GA,41.3418549,-90.1177442
2016-11-03T00:00:00.000Z,3,Chicago,IL,41.8755616,-87.6244212
2016-11-10T00:00:00.000Z,4,Canonsburg,PA,40.2625702,-80.1872797
2016-11-10T00:00:00.000Z,4,Amarillo,TX,35.2072185,-101.833824
2016-11-13T00:00:00.000Z,3,Jacksonville,FL,30.3321838,-81.655651
2016-11-13T00:00:00.000Z,3,San Diego,CA,32.7174202,-117.1627728
2016-11-17T00:00:00.000Z,4,Williamsburg,VA,37.2708788,-76.7074042
2016-12-05T00:00:00.000Z,4,Albuquerque,NM,35.0841034,-106.650985
2016-12-09T00:00:00.000Z,4,Channelview,TX,29.7760599,-95.1146533
2016-12-17T00:00:00.000Z,5,Chicago (Fernwood),IL,41.70397535,-87.63910080862382
2016-12-24T00:00:00.000Z,4,Wilson Co.,NC,29.1589961,-98.1251465
2017-01-01T00:00:00.000Z,4,Lexington Co.,SC,33.8986841,-81.275054
2017-01-04T00:00:00.000Z,3,Fontana,CA,34.0922335,-117.435048
2017-01-05T00:00:00.000Z,5,Hubbard,OR,47.1138266,-94.9427679
2017-01-06T00:00:00.000Z,5,Fort Lauderdale,FL,26.1223084,-80.1433786
2017-01-09T00:00:00.000Z,3,Morehead,KY,38.1839705,-83.4326841
2017-01-11T00:00:00.000Z,4,Colorado Springs,CO,38.8339578,-104.825348
2017-01-12T00:00:00.000Z,3,Kansas City,MO,39.100105,-94.5781416
2017-01-16T00:00:00.000Z,3,Capulin,CO,37.2832203,-106.1107298
2017-01-22T00:00:00.000Z,3,Manvel,TX,29.4664706,-95.355714
2017-01-22T00:00:00.000Z,3,Atlanta,GA,33.7489924,-84.3902644
2017-01-27T00:00:00.000Z,3,McAllen,TX,26.204114,-98.2300605
2017-01-29T00:00:00.000Z,3,Bowie,MD,33.4198886,-94.4479626
2017-02-05T00:00:00.000Z,3,Jupiter,FL,26.9342246,-80.0942087
2017-02-06T00:00:00.000Z,4,Yazoo City,MS,32.8550965,-90.4056469
2017-02-07T00:00:00.000Z,4,Morris,OK,33.0738633,-94.7392197
2017-02-09T00:00:00.000Z,4,Jackson,MS,32.3086744,-90.1983063
2017-02-15T00:00:00.000Z,3,Chicago,IL,41.8755616,-87.6244212
2017-02-19T00:00:00.000Z,4,Preston,ID,43.6702423,-92.0832157
2017-02-21T00:00:00.000Z,4,Toomsuba,MS,32.418474,-88.5069819
2017-02-23T00:00:00.000Z,4,Newton,KS,30.8118989,-93.740504
2017-03-06T00:00:00.000Z,4,El Centro,CA,32.792,-115.563051
2017-03-10T00:00:00.000Z,3,New Orleans (Gentilly),LA,30.0156248,-90.0518356
2017-03-10T00:00:00.000Z,3,St. Charles,IL,38.7877791,-90.6747372
2017-03-15T00:00:00.000Z,4,New Orleans (Metairie),LA,29.9833023,-90.11844598682563
2017-03-18T00:00:00.000Z,3,Detroit,MI,42.3315509,-83.0466403
2017-03-22T00:00:00.000Z,5,Rothschild,WI,44.8871907,-89.6201218
2017-03-23T00:00:00.000Z,3,Crowley,LA,38.3394806,-103.8263042
2017-03-23T00:00:00.000Z,4,Waldorf,MD,43.9349223,-93.6974928
2017-03-30T00:00:00.000Z,4,Canton,OH,32.555664,-95.8640507
2017-03-30T00:00:00.000Z,4,Chicago (South Shore),IL,41.7587276,-87.5752828
2017-04-03T00:00:00.000Z,3,Philadelphia,PA,39.9527237,-75.1635262
2017-04-07T00:00:00.000Z,4,St. Paul,MN,44.9497487,-93.0931028
2017-04-07T00:00:00.000Z,3,Hickory,NC,37.959055,-93.3334746
